locus_tag	X00_mean	X02_mean	theta	prob	log2FC	length.x	P	wp	dbxref	ncbi_id	genomic_accession	feature	start	stop	strand	gene	gbkey	gene_biotype	old_locus_tag	length.y	protein	kegg1	kegg2	kegg3	pathway	kegg_prot	kegg_id	definition	keggidprot	Gene.Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	chr	arCOG_name	E.value	score	arCOG_familiy	Gene_name	Description	HVO	EFFECTSIZE
HVO_RS00090	57.8388955068065	31.1431285590704	0.637461295442754	0.929767957785488	0.893126121654262	653	0.0702320422145115	WP_004041134.1	8919107	lcl|NC_013964.1_cds_WP_004041134.1_106	NC_013964.1	gene	20051	20704	+	105	Gene	protein_coding	HVO_B0020	653	bacterio-opsin activator	NA	NA	NA	NA	NA	NA	NA	NA: NA	bacterio-opsin activator(HVO_RS00090)	Haloferax volcanii DS2					IPR007050:Transcription regulator HTH, bacterioopsin		HVO_RS00090	PF04967:HTH DNA binding domain			Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG02276	1.4e-21	75.5	T	-	Signal transduction regulator, containsPAS and HTH domains	HVO_B0020	0.893126121654262
HVO_RS00350	35.6511655225443	58.3312958039644	-0.373053236852425	0.743493724884388	-0.710320880721676	530	0.256506275115612	WP_004041082.1	8919049	lcl|NC_013964.1_cds_WP_004041082.1_159	NC_013964.1	gene	81961	82491	-	158	Gene	protein_coding	HVO_B0073	530	transcriptional regulator	NA	NA	NA	NA	NA	NA	NA	NA: NA	transcriptional regulator(HVO_RS00350)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated	GO:0005622~intracellular	GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding	IPR000485:AsnC-type HTH domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR019888:Transcription regulator AsnC-type		HVO_RS00350	PF13404:AsnC-type helix-turn-helix domain		SM00344:HTH_ASNC	Complete proteome,DNA-binding,Plasmid,Reference proteome,Transcription,Transcription regulation,	pHV3	arCOG01587	2.6e-64	213.6	K	-	DNA-binding transcriptional regulator, Lrp family	HVO_B0073	-0.710320880721676
HVO_RS00570	62.165981585823	27.2217260074764	0.902728100136566	0.984343117755985	1.191366781403	1949	0.0156568822440147	WP_004041038.1	8919024	lcl|NC_013964.1_cds_WP_004041038.1_203	NC_013964.1	gene	131561	133510	+	202	Gene	protein_coding	HVO_B0118	1949	SMC-like protein Sph2	NA	NA	NA	NA	NA	NA	NA	NA: NA	SMC-like protein Sph2(HVO_RS00570)	Haloferax volcanii DS2					IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS00570				Coiled coil,Complete proteome,	pHV3	arCOG00385	2e-08	32.2	S	-	Uncharacterized coiled-coil protein	HVO_B0118	1.191366781403
HVO_RS00635	45.5973782995455	29.5647247568779	0.465955160829025	0.891386801124451	0.625074030625555	863	0.108613198875549	WP_004041025.1	8919172	lcl|NC_013964.1_cds_WP_004041025.1_216	NC_013964.1	gene	145516	146379	+	215	Gene	protein_coding	HVO_B0131	863	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS00635)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS00635				Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG01449	2.3e-66	221.6	V	Csx1	CARF domain containing protein	HVO_B0131	0.625074030625555
HVO_RS00705	38.4818134789861	51.3246952431905	-0.28786422389866	0.619501156096846	-0.415476367299841	695	0.380498843903154	WP_004041011.1	8919253	lcl|NC_013964.1_cds_WP_004041011.1_230	NC_013964.1	gene	162589	163284	-	229	Gene	protein_coding	HVO_B0145	695	creatininase	NA	NA	NA	NA	NA	NA	NA	NA: NA	creatininase(HVO_RS00705)	Haloferax volcanii DS2	3.5.2.10			GO:0047789~creatininase activity	IPR003785:Creatininase/formamide hydrolase,IPR024087:Creatininase-like domain		HVO_RS00705	PF02633:Creatinine amidohydrolase			Complete proteome,Hydrolase,Plasmid,Reference proteome,	pHV3	arCOG04536	2.6e-46	155.7	H	ArfB	Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis	HVO_B0145	-0.415476367299841
HVO_RS00755	2358.10620468317	1036.62998589481	1.67259324603717	0.999940280247039	1.18572766475825	413	5.97197529609295e-05	WP_004041383.1	25143363	lcl|NC_013964.1_cds_WP_004041383.1_240	NC_013964.1	gene	174818	175231	-	239	Gene	protein_coding	HVO_RS00755	413	response regulator	NA	NA	NA	NA	NA	NA	NA	NA: NA	response regulator(HVO_RS00755)	Haloferax volcanii DS2		GO:0000160~phosphorelay signal transduction system	GO:0005622~intracellular	GO:0016301~kinase activity	IPR001789:Signal transduction response regulator, receiver domain,IPR011006:CheY-like superfamily		HVO_RS00755	PF00072:Response regulator receiver domain		SM00448:REC	Complete proteome,Kinase,Transferase,	pHV3	arCOG02595	1.1e-33	113.2	T	OmpR	REC domain	---	1.18572766475825
HVO_RS00770	34.4899213484243	155.808233395182	-1.01075778156643	0.991929363567327	-2.17552472797807	548	0.00807063643267314	WP_004041380.1	25143364	lcl|NC_013964.1_cds_WP_004041380.1_243	NC_013964.1	gene	181542	182090	+	242	Gene	protein_coding	HVO_RS00770	548	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS00770)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS00770				Complete proteome,	pHV3	arCOG09362	2.8e-99	328.2	S	-	Uncharacterized protein	---	-2.17552472797807
HVO_RS00895	9.69425019659771	20.6172722624065	-0.87064144716494	0.980016337826239	-1.08865224943567	974	0.0199836621737607	WP_004041353.1	8919290	lcl|NC_013964.1_cds_WP_004041353.1_268	NC_013964.1	gene	211615	212589	+	267	Gene	protein_coding	HVO_B0182	974	deoxyhypusine synthase	NA	NA	NA	NA	NA	NA	NA	NA: NA	deoxyhypusine synthase(HVO_RS00895)	Haloferax volcanii DS2	2.5.1.46	GO:0008612~peptidyl-lysine modification to peptidyl-hypusine,GO:0050983~deoxyhypusine biosynthetic process from spermidine		GO:0034038~deoxyhypusine synthase activity	IPR002773:Deoxyhypusine synthase,IPR022899:Deoxyhypusine synthase, putative, archaeal		HVO_RS00895	PF01916:Deoxyhypusine synthase			Complete proteome,Hypusine biosynthesis,NAD,Plasmid,Reference proteome,Transferase,	pHV3	arCOG04142	3.8e-86	287	O	DYS1	Deoxyhypusine synthase	HVO_B0182	-1.08865224943567
HVO_RS00945	394.586626872642	255.611107878057	0.571244704911319	0.92583588955572	0.626391530171921	311	0.0741641104442801	WP_004041342.1	8919151	lcl|NC_013964.1_cds_WP_004041342.1_279	NC_013964.1	gene	223140	223451	-	278	Gene	protein_coding	HVO_B0192	311	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS00945)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS00945				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	pHV3	arCOG03916	1.3e-30	103.4	S	-	Uncharacterized membrane protein	HVO_B0192	0.626391530171921
HVO_RS00950	4627.57125581691	2332.34927765994	2.40904200721086	1	0.988471351565249	371	0	WP_004041341.1	8919133	lcl|NC_013964.1_cds_WP_004041341.1_280	NC_013964.1	gene	223453	223824	-	279	Gene	protein_coding	HVO_B0193	371	transcriptional regulator	NA	NA	NA	NA	NA	NA	NA	NA: NA	transcriptional regulator(HVO_RS00950)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS00950	PF12840:Helix-turn-helix domain			Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG03065	3.6e-41	137.6	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_B0193	0.988471351565249
HVO_RS01330	10.1453809193419	9.69451617711685	0.0467522878318108	0.0513667151082229	0.0655822288045231	1706	0.948633284891777	WP_004041265.1	8919373	lcl|NC_013964.1_cds_WP_004041265.1_357	NC_013964.1	gene	325629	327335	+	356	Gene	protein_coding	HVO_B0273	1706	histidine kinase	NA	NA	NA	NA	NA	NA	NA	NA: NA	histidine kinase(HVO_RS01330)	Haloferax volcanii DS2			GO:0005622~intracellular,GO:0016021~integral component of membrane	GO:0000155~phosphorelay sensor kinase activity	IPR000014:PAS domain,IPR003594:Histidine kinase-like ATPase, ATP-binding domain,IPR003661:Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain,IPR004358:Signal transduction histidine kinase-related protein, C-terminal,IPR005467:Signal transduction histidine kinase, core,IPR013656:PAS fold-4		HVO_RS01330	PF00512:His Kinase A (phospho-acceptor) domain,PF02518:Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase,PF08448:PAS fold		SM00387:HATPase_c,SM00388:HisKA	Complete proteome,Kinase,Membrane,Plasmid,Reference proteome,Transferase,Transmembrane,Transmembrane helix,	pHV3	arCOG06219	1.4e-74	248.7	T	-	Signal transduction histidine kinase	HVO_B0273	0.0655822288045231
HVO_RS01710	3.41546685059101	5.95854789651054	-0.489000898825696	0.871052500109539	-0.802877997505051	2303	0.128947499890461	WP_004041187.1	8919286	lcl|NC_013964.1_cds_WP_004041187.1_434	NC_013964.1	gene	408141	410444	-	433	Gene	protein_coding	HVO_B0354	2303	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS01710)	Haloferax volcanii DS2					IPR001646:Pentapeptide repeat,IPR013099:Ion transport 2		HVO_RS01710	PF07885:Ion channel,PF13576:Pentapeptide repeats (9 copies)			Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG03128	2.7e-122	407.4	S	-	Pentapeptide repeats containing protein	HVO_B0354	-0.802877997505051
HVO_RS01720	18.0194650600881	62.0749068995835	-1.65072086391234	0.999962228182808	-1.78445400982324	524	3.77718171917785e-05	WP_004041182.1	8919103	lcl|NC_013964.1_cds_WP_004041182.1_437	NC_013964.1	gene	411652	412176	-	436	Gene	protein_coding	HVO_B0356	524	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS01720)	Haloferax volcanii DS2							HVO_RS01720				Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG06376	6.5e-72	238.6	S	-	Uncharacterized protein	HVO_B0356	-1.78445400982324
HVO_RS01920	2334.37059755647	4630.72749252698	-2.4767319803267	1	-0.988205243221088	449	0	WP_004043309.1	8923485	lcl|NC_013966.1_cds_WP_004043309.1_474	NC_013966.1	gene	12870	13319	-	473	Gene	protein_coding	HVO_A0012	449	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS01920)	Haloferax volcanii DS2							HVO_RS01920				Coiled coil,Complete proteome,Plasmid,Reference proteome,	pHV4	NA	NA	NA	NA	NA	NA	NA	-0.988205243221088
HVO_RS01955	38.0050833975448	27.4477960510977	0.369798821447623	0.806906812536912	0.469502088981352	704	0.193093187463088	WP_004043418.1	8923520	lcl|NC_013966.1_cds_WP_004043418.1_484	NC_013966.1	gene	22306	23010	+	483	Gene	protein_coding	HVO_A0020	704	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS01955)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS01955				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	pHV4	arCOG10633	1e-121	402.5	S	-	Uncharacterized membrane protein	HVO_A0020	0.469502088981352
HVO_RS01960	199.175390088798	674.835372783746	-1.54020777011515	0.997546530636821	-1.76049619675374	395	0.00245346936317903	WP_004043417.1	8923434	lcl|NC_013966.1_cds_WP_004043417.1_485	NC_013966.1	gene	23099	23494	-	484	Gene	protein_coding	HVO_A0021	395	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS01960)	Haloferax volcanii DS2							HVO_RS01960				Complete proteome,Plasmid,Reference proteome,	pHV4	arCOG10820	6.8e-51	169.5	S	-	Uncharacterized protein	HVO_A0021	-1.76049619675374
HVO_RS01970	631.123968652804	867.61951005455	-0.471494506317695	0.856440964454753	-0.459139080375683	167	0.143559035545247	WP_004043415.1	8923744	lcl|NC_013966.1_cds_WP_004043415.1_487	NC_013966.1	gene	24692	24859	-	486	Gene	protein_coding	HVO_A0023	167	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS01970)	Haloferax volcanii DS2					IPR009072:Histone-fold		HVO_RS01970				Complete proteome,Plasmid,Reference proteome,	pHV4	arCOG02989	9.7e-24	81.2	L	HHT1	Histones H3 and H4	HVO_A0023	-0.459139080375683
HVO_RS01975	953.920726542474	513.468373703955	1.31100101233507	0.987341496717178	0.893593960559611	683	0.0126585032828218	WP_004043414.1	8923397	lcl|NC_013966.1_cds_WP_004043414.1_488	NC_013966.1	gene	25023	25706	+	487	Gene	protein_coding	HVO_A0024	683	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS01975)	Haloferax volcanii DS2							HVO_RS01975				Complete proteome,Plasmid,Reference proteome,	pHV4	NA	NA	NA	NA	NA	NA	NA	0.893593960559611
HVO_RS02040	1040.22226671418	940.38008378454	0.183728746185853	0.425392792551408	0.145575935580331	425	0.574607207448592	WP_004043402.1	8923403	lcl|NC_013966.1_cds_WP_004043402.1_500	NC_013966.1	gene	34050	34475	+	499	Gene	protein_coding	HVO_A0036	425	transcriptional regulator	NA	NA	NA	NA	NA	NA	NA	NA: NA	transcriptional regulator(HVO_RS02040)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS02040	PF12840:Helix-turn-helix domain			Complete proteome,Plasmid,Reference proteome,	pHV4	arCOG03065	2e-40	135.2	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_A0036	0.145575935580331
HVO_RS02045	541.900914928645	778.853718021278	-0.624905332359564	0.910792843084947	-0.523323308129088	302	0.089207156915053	WP_004043401.1	8923760	lcl|NC_013966.1_cds_WP_004043401.1_501	NC_013966.1	gene	34478	34780	+	500	Gene	protein_coding	HVO_A0037	302	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS02045)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS02045				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	pHV4	arCOG03915	1.1e-19	68.2	S	-	Uncharacterized membrane protein	HVO_A0037	-0.523323308129088
HVO_RS02130	24.9217770006667	21.1457116968876	0.194049624604603	0.454356563695252	0.23704182302397	821	0.545643436304748	WP_004043378.1	8923410	lcl|NC_013966.1_cds_WP_004043378.1_521	NC_013966.1	gene	48734	49555	+	520	Gene	protein_coding	HVO_A0057	821	IS5 family transposase ISHvo2	NA	NA	NA	NA	NA	NA	NA	NA: NA	IS5 family transposase(HVO_RS02130)	Haloferax volcanii DS2		GO:0006313~transposition, DNA-mediated		GO:0003677~DNA binding,GO:0004803~transposase activity	IPR002559:Transposase, IS4-like		HVO_RS02130	PF01609:Transposase DDE domain			Complete proteome,Plasmid,Reference proteome,	pHV4	arCOG02751	7.4e-71	236.7	X	-	Transposase, IS5 family	HVO_A0057	0.23704182302397
